url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.9952,12.3877,7.260396,4.93175,0.170831616,20.3489,0.1705267,0.034,306.6731788,1.105651134,8.006225,363.3586174,0.07,687.6163291,0.6118266
0.6904,10.7228,6.727522,2.228289,0.074654362,19.1942,0.06775353,0.08,251.0780808,0.392587804,2.405095,277.8131221,0.02,512.8383186,0.1479704
0.9975,11.95,7.236803,4.76099,0.177524564,18.9568,0.1640543,0.035,289.221897,1.240108329,7.802135,277.8131221,0.02,512.8383186,0.5873101
0.9974,11.4312,7.249833,4.776078,0.20453444,18.3544,0.1582459,0.072,272.7184805,1.243318587,7.066765,206.6387024,0.1,290.3845297,0.5838747
0.771,15.402,6.755603,2.518463,0.092808991,18.0044,0.05050341,0.204,276.0841445,0.5379922,1.994225,363.3586174,0.07,512.8383186,0.1434318
0.77,14.2548,6.863773,3.087117,0.109171441,17.9174,0.06081865,0.321,281.9706511,1.144334771,2.62334,363.3586174,0.07,512.8383186,0.1243785
0.6775,9.74045,6.711718,2.412296,0.073407003,17.7962,0.04348817,0.139,240.9816278,0.34276216,2.10412,206.6387024,0.1,290.3845297,0.1389143
0.9072,13.1354,7.043367,4.287991,0.180448152,17.5533,0.02735703,0.028,278.2501,0.84755045,2.408065,363.3586174,0.07,512.8383186,0.1107291
0.763,15.022,6.731122,3.555531,0.096165615,17.427,0.04847963,0.248,260.182636,0.540586474,1.779195,277.8131221,0.02,290.3845297,0.1431727
0.761,13.4523,6.874316,4.560102,0.107541336,17.3765,0.05705781,0.353,267.4426024,1.260017617,2.50203,277.8131221,0.02,290.3845297,0.118754
1,10.7758,7.253468,5.007357,0.215466382,16.7411,0.1510984,0.088,238.0464767,1.357710762,6.6148,129.3138679,0.12,95.03284876,0.5855924
0.82842,16.064,6.764489,2.629272,0.097004972,16.5851,0.05306725,0.208,289.4768779,0.491138145,2.08997,390.3879721,17.23,687.6163291,0.1480431
0.832,16.6308,7.060727,4.886785,0.121167196,16.5681,0.1082426,0.125,289.1844875,0.34396626,3.65555,363.3586174,0.07,512.8383186,0.2426576
0.87529,13.97635556,7.651611,6.726568,0.196661736,16.4889,0.4067332,0.055,301.3271137,0.643053797,14.21299,390.3879721,17.23,687.6163291,1.380758
0.866,13.52347222,7.632722,7.116187,0.209209161,16.422,0.405108,0.038,285.4139924,0.81036725,15.76194,363.3586174,0.07,512.8383186,1.374153
0.6667,9.4931,6.689307,1.983896,0.077595126,16.4024,0.0214968,0.129,217.562905,0.287841081,1.989055,129.3138679,0.12,95.03284876,0.1314026
0.64042,8.68789,6.599806,1.585881,0.069960851,16.3982,0.01946767,0.083,175.31,0.23736955,1.6875,95.48683697,0.15,48.68357734,0.1255172
0.6552,9.22388,6.649261,1.778636,0.075348341,16.3938,0.02032072,0.055,192.11,0.233065196,1.842705,92.11420781,0.39,44.28451654,0.1285897
0.758,12.9072,6.855629,4.62259,0.103929097,16.2388,0.03784113,0.606,236.9906005,1.232195273,2.40495,206.6387024,0.1,95.03284876,0.1131822
0.9008,12.4118,7.003228,4.204501,0.195557751,15.9428,0.02562772,0.033,267.1864849,1.120464239,2.412485,277.8131221,0.02,290.3845297,0.1029316
0.86803,16.6559,7.065179,4.926374,0.121473883,15.9322,0.1078241,0.146,303.2918158,0.360387233,3.61977,390.3879721,17.23,687.6163291,0.2458367
0.9983,13.2707,7.281115,5.034001,0.151787844,15.9309,0.1752873,0.043,319.2411972,1.102578803,7.80944,390.3879721,17.23,472.2192815,0.6385556
0.81725,14.8461,6.844935,3.211106,0.114027912,15.8466,0.06099564,0.326,297.8679122,1.106637654,2.66528,390.3879721,17.23,687.6163291,0.1289314
1,10.603,7.227854,4.30135,0.199966863,15.7985,0.1485643,0.084,219.99,1.574477649,6.15101,92.11420781,0.39,44.28451654,0.6045044
0.881,13.54926556,7.233527,5.340328,0.214911166,15.7279,0.09550189,0.174,291.4432335,0.892782261,3.976985,363.3586174,0.07,512.8383186,0.4107733
0.8646,17.1212,7.450636,4.197826,0.122732621,15.6427,0.145487,0.082,299.9313245,0.423485084,6.877285,363.3586174,0.07,687.6163291,0.5467667
0.7327,17.1655,7.056934,2.564828,0.087827631,15.639,0.206377,0.157,293.470868,0.31537731,4.570215,363.3586174,0.07,687.6163291,0.4240824
0.63192,8.05174,6.564796,1.433296,0.070764876,15.6356,0.01808815,0.052,149.2,0.250531346,1.50817,106.2334968,0,64.74577466,0.1174209
0.89309,14.07050556,7.244299,5.167044,0.209299081,15.58,0.09679073,0.211,308.6404185,0.901089389,4.10058,390.3879721,17.23,687.6163291,0.4270368
0.8201,9.74089,6.853394,1.077811,0.105117162,15.569,0.03582196,0.111,139.52,0.037216977,1.3875,106.2334968,0,64.74577466,0.2321104
0.8937,12.1227,7.003899,4.251543,0.183165245,15.5502,0.02408793,0.056,236.0975275,1.117694746,2.36385,206.6387024,0.1,95.03284876,0.1000715
0.8638,16.1759,7.446035,3.943017,0.109364679,15.5491,0.1512002,0.08,282.6636549,0.429898076,6.450275,277.8131221,0.02,512.8383186,0.5534649
