url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.579,13.9292,6.311724,1.823554,0.111042429,5.8378,0.007485077,0.037,65.62,0.242226799,0.320825,124.3355367,0,96.61290641,0.04048558
0.29666,13.8519,6.257948,0.6946456,0.096941496,5.8321,0.005255293,0.027,72.4,0.003380869,0.23179,106.2334968,0,104.5081246,0.03771862
0.56343,12.2679,6.517591,1.694157,0.203322686,5.8319,0.01445998,0.027,248.4704826,0.04848236,0.03697,390.3879721,17.23,687.6163291,0.0156467
0.6475,11.5555,7.021108,3.404234,0.097365665,5.8304,0.02559711,0.039,125.39,0.464663827,1.660095,124.3355367,0,104.5081246,0.1420889
0.6183,14.0451,6.740586,2.013899,0.240200097,5.8304,0.01459423,0.01,249.0320334,0.027839225,0.08694,390.3879721,17.23,687.6163291,0.04133084
0.582,14.041,6.479041,1.501619,0.185786258,5.8299,0.01116435,0.064,147.23,0.093706552,0.921255,92.11420781,0.39,48.68357734,0.05615211
0.537,9.20306,6.713222,2.860141,0.215725597,5.8281,0.005250973,0.139,194.88,0.225208767,0.144045,129.3138679,0.12,44.28451654,0.02610001
0.5701,11.6619,6.5938,3.530132,0.12129101,5.8252,0.02882465,0.125,219.2923356,0.086657,0.168975,277.8131221,0.02,512.8383186,0.06738857
0.38039,13.8959,6.485462,1.894159,0.14814952,5.8236,0.01225167,0.044,89.97,0.05272075,0.48551,106.2334968,0,104.5081246,0.09460806
0.5002,9.68954,6.619409,1.295684,0.139010247,5.8205,0.006280032,0.038,36.78,0.016100288,0.12494,124.3355367,0,96.61290641,0.04218286
0.5314,8.9166,6.752694,1.883147,0.162041129,5.816,0.01588215,0.032,219.5658373,0.029829159,1.160905,277.8131221,0.02,512.8383186,0.02692972
0.58069,11.8089,6.430476,4.597259,0.267561597,5.8132,0.008435208,0.04,212.4618599,0.001358764,0.03112625,206.6387024,0.1,290.3845297,0.0184231
0.5481,10.8903,6.590622,2.199236,0.113717979,5.811,0.01424227,0.078,147.73,0.566051888,0.10576,92.11420781,0.39,48.68357734,0.08623461
0.55422,13.3013,6.522403,2.287754,0.164559392,5.8059,0.01136733,0.018,231.9764547,0.021811319,0.01014,390.3879721,17.23,687.6163291,0.02264174
0.52829,12.6895,6.363173,2.777365,0.156664508,5.801,0.01106206,0.048,214.0789568,0.025949051,0.038995,206.6387024,0.1,290.3845297,0.03920702
0.7125,8.69828,6.508963,2.053673,0.186331649,5.7979,0.01698391,0.052,121.99,0.065365525,0.003845,106.2334968,0,64.74577466,0.1008516
0.613,14.2627,6.765165,5.382357,0.157811806,5.7948,0.02583319,0.067,245.4597599,0.147392973,0.193005,206.6387024,0.1,290.3845297,0.09916627
0.626,12.87816474,6.78665,3.163313,0.221938634,5.7902,0.1475653,0.525,182.68,0.235131098,11.05345,129.3138679,0.12,44.28451654,0.5827892
0.732,11.842,7.060309,5.091921,0.180196775,5.7882,0.02453017,0.077,159.34,0.192898065,0.69587,95.48683697,0.15,48.68357734,0.1168992
0.51615,10.2166,6.270583,1.13159,0.206046677,5.7876,0.002802021,0.014,70.84,0.003289302,0.01779,124.3355367,0,104.5081246,0.01391204
0.566,12.2119,6.244787,1.843331,0.11476202,5.7873,0.005700987,0.017,149.14,0.180400859,0.148345,92.11420781,0.39,48.68357734,0.03186506
0.5249,13.0024,6.50513,2.946718,0.244486822,5.7853,0.02534969,0.012,253.9556859,0.097645822,1.441075,363.3586174,0.07,687.6163291,0.02736857
0.5364,11.0533,6.397795,1.797056,0.150628254,5.7832,0.001614544,0.014,131.93,0.010333606,0.018125,106.2334968,0,64.74577466,0.01246581
0.59884,11.6685,6.790283,7.456093,0.170137219,5.7819,0.02579044,0.068,225.7974497,0.034061692,0.24245,277.8131221,0.02,290.3845297,0.02287299
0.528,11.0128,6.64485,1.845823,0.154880151,5.7818,0.01714294,0.159,173.53,0.021116669,1.101165,129.3138679,0.12,44.28451654,0.1076462
0.6079,12.3405,6.803474,2.890649,0.184480061,5.7714,0.02692586,0.043,236.3370418,0.053803838,0.298125,363.3586174,0.07,512.8383186,0.02401816
0.5946,10.6495,6.902265,1.41018,0.132959703,5.7655,0.04269275,0.174,137.54,0.074101034,2.969595,95.48683697,0.15,64.74577466,0.2249689
0.6844,10.9965,6.909304,4.462046,0.1204088,5.7624,0.06249929,0.047,122.82,0.369284731,7.571495,124.3355367,0,104.5081246,0.2369206
0.509,10.7374,6.119713,1.496439,0.135144267,5.7472,0.001754579,0.03,104.75,0.134568188,0.1322,106.2334968,0,104.5081246,0.01022438
0.886,7.0639,7.049232,2.180489,0.073911391,5.747,0.08267592,0.116,78.29,1.844500649,3.05052,125.7,0,96.61290641,0.3889432
0.45566,8.69816,6.436618,0.9246697,0.133943547,5.7402,0.002613313,0.013,81.8,0.019471895,0.19105,106.2334968,0,104.5081246,0.02041669
0.5273,14.2834,6.323163,1.782309,0.120666959,5.7387,0.01578229,0.041,170.17,0.312995547,0.224595,92.11420781,0.39,48.68357734,0.05647865
0.52146,11.2106,6.642969,1.371726,0.139524222,5.7368,0.007241634,0.089,115.03,0.005672575,0.1542,95.48683697,0.15,64.74577466,0.04858794
0.5791,13.9803,6.309962,3.371638,0.16224304,5.7359,0.01031159,0.047,219.564048,0.05448073,0.397825,206.6387024,0.1,290.3845297,0.03502328
0.551,10.9481,6.707527,2.482058,0.102145046,5.735,0.008572632,0.041,119.58,0.330836612,0.87934,124.3355367,0,104.5081246,0.05416056
0.5721,12.9539,6.608328,1.999233,0.157064371,5.7349,0.01558858,0.098,185.6696584,0.049192694,0.44828,206.6387024,0.1,95.03284876,0.04984767
0.22544,13.6712,6.584285,1.495682,0.210984627,5.7344,0.006358228,0.17,122.02,0.048954828,0.33507,95.48683697,0.15,48.68357734,0.03094771
0.604,10.0137,6.252628,1.646518,0.076551768,5.7291,0.00544608,0.084,70.6,0.335054184,0.88882,124.3355367,0,96.61290641,0.03128039
0.645,13.0787,6.955656,3.717814,0.153423256,5.7193,0.03484984,0.108,212.955628,0.036179737,3.21458,206.6387024,0.1,95.03284876,0.2546299
0.66,12.4795,6.633102,1.744796,0.123210185,5.7144,0.02073438,0.041,150.29,1.327048798,1.780995,106.2334968,0,64.74577466,0.1011565
0.6106,11.8986,6.452297,1.963555,0.117726431,5.7049,0.01204814,0.132,151.23,0.063089696,0.23265,95.48683697,0.15,48.68357734,0.057723
0.5119,13.9244,6.454336,2.164093,0.176794561,5.7003,0.01679064,0.074,218.6606403,0.054118494,0.052975,363.3586174,0.07,512.8383186,0.03318643
0.5336,14.7436,6.573061,2.297452,0.171737392,5.6999,0.03045195,0.088,236.0337663,0.031622013,0.06397,363.3586174,0.07,687.6163291,0.05906708
0.7205,9.36323,6.972084,4.812606,0.147170595,5.6988,0.04423875,0.054,154.72,0.228058646,2.80397,106.2334968,0,64.74577466,0.2118961
0.8095,8.59966,7.147701,6.561658,0.162214514,5.6972,0.03411589,0.057,193.77,0.166966906,0.095235,92.11420781,0.39,44.28451654,0.1396994
0.595,8.97432,6.625628,3.058457,0.109228962,5.6876,0.002419307,0.064,160.81,0.400388942,0.15311,95.48683697,0.15,64.74577466,0.01394627
0.27028,14.5543,6.265371,0.8253797,0.10649694,5.6868,0.005455515,0.054,96.01,0.004586243,0.2767233,95.48683697,0.15,64.74577466,0.03812594
0.6482,10.8427,6.774471,3.027734,0.114461279,5.6855,0.04954583,0.106,300.4678963,0.207782022,3.1,125.7,0,472.2192815,0.256426
0.66953,16.6393,6.731565,4.281057,0.203696718,5.6777,0.03833666,0.179,233.965866,0.496405658,0.13974,390.3879721,17.23,687.6163291,0.1691409
0.51197,11.2015,6.511716,1.625966,0.115969996,5.6771,0.007621387,0.083,129.31,0.238140299,0.42246,106.2334968,0,64.74577466,0.04491759
0.63959,15.675,6.852359,2.458993,0.160849284,5.6661,0.01479849,0.041,253.8355515,0.062357073,0.4,390.3879721,17.23,472.2192815,0.05467448
0.40111,12.3523,6.584331,1.709163,0.15928409,5.6583,0.01150362,0.025,52.27,0.251003041,1.158065,124.3355367,0,96.61290641,0.085776
0.8412,10.874,7.103016,6.813611,0.132622147,5.6547,0.04170671,0.051,116.45,0.235202352,0.86329,106.2334968,0,104.5081246,0.2302402
0.7504,8.50212,6.752294,3.810858,0.165083889,5.6528,0.02500699,0.047,105.92,0.076035133,0.127955,124.3355367,0,104.5081246,0.08135034
0.5704,11.2888,6.718082,1.387769,0.104483613,5.649,0.009913761,0.065,138.01,0.045031017,1.06619,92.11420781,0.39,48.68357734,0.07071735
0.45468,9.42729,6.449564,0.989103,0.143914247,5.6467,0.002786987,0.038,106.18,0.021805178,0.25667,95.48683697,0.15,64.74577466,0.02173355
0.587,11.3018,6.590647,1.769913,0.199015107,5.646,0.01488894,0.059,149.35,0.231906027,1.206265,92.11420781,0.39,48.68357734,0.07429535
0.74934,10.5777,6.485031,1.714494,0.258389031,5.6411,0.002632309,0.024,186.1456397,0.030511942,0.2689,129.3138679,0.12,95.03284876,0.01967173
0.5435,12.4931,6.766819,2.029134,0.136121735,5.641,0.02403928,0.095,198.0273054,0.030532855,2.620845,129.3138679,0.12,95.03284876,0.1241501
0.544,11.4901,6.767865,1.747536,0.166347321,5.6358,0.02163426,0.039,193.58,0.157636102,2.885295,129.3138679,0.12,44.28451654,0.09571389
0.52709,10.1342,6.558272,2.069774,0.105467563,5.6348,0.01448611,0.136,132.92,1.325039083,0.1008767,95.48683697,0.15,64.74577466,0.0911318
0.50971,11.6142,6.338195,2.122078,0.186014319,5.6318,0.02717875,0.088,244.7915854,0.17872472,0.94089,390.3879721,17.23,687.6163291,0.09287583
0.7778,13.9045,7.428578,6.868145,0.159024227,5.6315,0.01066973,0.004,222.0718686,0.207032952,0.163515,129.3138679,0.12,95.03284876,0.04511807
0.71212,11.2296,7.072929,3.988662,0.202089607,5.6245,0.02908883,0.007,236.7290207,0.020275936,0.01936,390.3879721,17.23,687.6163291,0.08443292
0.48657,8.73222,6.53067,1.073055,0.115223018,5.6244,0.01678387,0.053,46.25,0.029861201,0.660235,124.3355367,0,96.61290641,0.1170719
0.58,12.3862,6.796315,2.988693,0.280936013,5.6238,0.02810507,0.053,194.73,0.186293621,2.66827,129.3138679,0.12,44.28451654,0.1241399
0.6905,10.832,6.947967,5.614604,0.158901586,5.6236,0.02003417,0.075,168.76,0.294269193,2.01757,95.48683697,0.15,48.68357734,0.08091394
0.612,9.56019,6.334744,1.68557,0.153978313,5.6217,0.004482106,0.039,57.1,0.187127197,0.339545,124.3355367,0,96.61290641,0.02434548
0.5492,15.2765,6.576745,2.248124,0.19237012,5.6217,0.01716556,0.045,247.0471527,0.069555453,1.16331,363.3586174,0.07,687.6163291,0.01954471
0.47512,11.6822,6.70843,3.214397,0.139239751,5.6076,0.02568959,0.062,154.49,1.57580026,4.882693,92.11420781,0.39,48.68357734,0.06555056
0.78564,11.4009,6.719188,2.702826,0.287134848,5.6031,0.004199518,0.014,216.8759634,0.024995848,0.149385,277.8131221,0.02,512.8383186,0.01928907
0.576,13.2036,6.368142,2.153675,0.102935626,5.6005,0.006111607,0.08,293.1192951,0.408006358,0.60986,125.7,0,472.2192815,0.03179408
0.5655,12.3082,6.4728,1.664038,0.127343113,5.5968,0.02934879,0.096,135.76,0.092695763,0.76258,95.48683697,0.15,64.74577466,0.08900802
0.5055,10.8146,6.613102,1.708273,0.17946582,5.5912,0.003724216,0.025,177.4185814,0.041566328,0.345755,206.6387024,0.1,95.03284876,0.02789071
0.6,9.26133,7.262168,3.468551,0.156322708,5.5906,0.1131812,0.053,235.7749469,0.086629164,6.718295,277.8131221,0.02,290.3845297,0.4503776
0.624,14.8777,6.865334,5.657825,0.173830555,5.5901,0.03102227,0.053,254.9201824,0.183776708,0.18358,277.8131221,0.02,512.8383186,0.1038361
0.558,15.1008,6.498486,2.067419,0.117976985,5.5824,0.01538048,0.179,149.58,0.227925952,0.90173,92.11420781,0.39,48.68357734,0.09296448
0.7285,12.4214,7.216088,7.104489,0.2408674,5.5812,0.07239055,0.095,245.2086453,0.019864458,0.093545,363.3586174,0.07,687.6163291,0.108615
0.69,8.78295,6.821726,3.589349,0.131332377,5.5779,0.01660064,0.063,211.38,0.233810831,2.688335,129.3138679,0.12,44.28451654,0.08175963
0.6821,17.4729,6.637476,2.294522,0.250707195,5.5767,0.01528047,0.088,195.9727809,0.106192907,1.893745,206.6387024,0.1,95.03284876,0.03357918
0.6316,12.5189,6.910298,4.953806,0.184182963,5.5723,0.07119443,0.127,235.1392659,0.150510849,1.447255,277.8131221,0.02,290.3845297,0.2487104
0.5161,11.2897,6.384343,1.299825,0.135886942,5.5681,0.003571054,0.071,158.11,0.0218062,0.98248,92.11420781,0.39,48.68357734,0.01579477
0.3786,15.218,6.572192,2.43426,0.145832118,5.5674,0.009504324,0.057,137.61,0.067905657,0.4824,92.11420781,0.39,48.68357734,0.07142258
0.5098,13.2209,6.404466,3.790834,0.122414629,5.5607,0.01519521,0.067,221.8709085,0.052886919,0.10219,206.6387024,0.1,290.3845297,0.02893779
0.548,8.18426,6.051776,1.480983,0.130088352,5.557,0.0054843,0.112,153.83,0.210071292,0.132655,92.11420781,0.39,48.68357734,0.03072332
0.5578,9.50612,6.362838,1.578625,0.203359817,5.5568,0.006008176,0.021,156.94,0.351812341,1.296085,92.11420781,0.39,48.68357734,0.02899841
0.7058,8.65499,6.49736,2.024765,0.189569211,5.5566,0.01735255,0.037,87.06,0.076993725,0.0046,124.3355367,0,104.5081246,0.1066188
0.48512,10.0179,6.574015,1.337112,0.138681101,5.5548,0.01904038,0.147,125.02,0.036712849,0.875465,95.48683697,0.15,64.74577466,0.1247585
0.38273,10.3952,6.157894,0.7594143,0.168369065,5.5508,0.01062026,0.077,81.34,0.082480994,0.068225,106.2334968,0,104.5081246,0.07353851
0.56287,16.4873,6.568076,2.345988,0.232985766,5.5452,0.01289351,0.131,235.5155076,0.087482535,0.41192,390.3879721,17.23,687.6163291,0.0182812
0.5712,12.4489,6.737649,3.11043,0.122930402,5.543,0.01800055,0.182,218.6095105,0.088040215,0.547845,206.6387024,0.1,290.3845297,0.05112786
0.5163,8.39929,6.625932,1.812633,0.158072165,5.5404,0.01218092,0.049,210.0376852,0.024612591,0.980345,206.6387024,0.1,290.3845297,0.0278556
0.4893,12.3992,6.43644,1.793268,0.175320913,5.5389,0.004863346,0.11,169.03,0.102225662,0.0386,129.3138679,0.12,44.28451654,0.02338017
0.55294,13.4804,6.921908,3.202343,0.142824643,5.5316,0.00900547,0.068,185.8269958,0.005478753,0.060945,206.6387024,0.1,95.03284876,0.05075725
0.40647,15.0837,6.788797,4.646663,0.170785315,5.5295,0.03404269,0.189,217.9417879,0.320503342,0.13342,277.8131221,0.02,290.3845297,0.1586307
0.5527,15.0735,6.765191,3.565447,0.208414659,5.5274,0.01208338,0.11,237.6002914,0.132190654,0.45504,277.8131221,0.02,512.8383186,0.05376071
0.5036,11.2097,6.350574,1.239168,0.137090141,5.526,0.003669662,0.122,120.44,0.011789645,0.91268,95.48683697,0.15,64.74577466,0.01667346
0.5534,11.5092,6.108616,1.37723,0.145749714,5.5248,0.005313786,0.014,182.03,0.264645858,0.16756,92.11420781,0.39,44.28451654,0.02573328
0.6805,14.227,6.81015,2.363039,0.259149601,5.5228,0.01264131,0.027,251.3482874,0.069438445,0.413565,363.3586174,0.07,687.6163291,0.03011666
0.55556,13.2947,6.406849,2.349093,0.185957067,5.5189,0.02153976,0.044,253.7667194,0.04717563,0.10019,390.3879721,17.23,472.2192815,0.01998855
0.664,11.0367,6.435675,3.081079,0.136877089,5.5186,0.01223719,0.032,114.66,0.267421841,1.19021,124.3355367,0,104.5081246,0.05805293
0.5996,11.1948,6.707264,2.74256,0.126523981,5.5177,0.0492279,0.27,181.16,0.130095521,1.180575,129.3138679,0.12,44.28451654,0.240526
0.2959,13.5732,6.220167,0.6323479,0.087204594,5.5177,0.004456516,0.019,30.88,0.005219325,0.209285,124.3355367,0,96.61290641,0.03065383
0.659,13.4359,7.131393,4.09471,0.20954656,5.5175,0.04216372,0.116,242.59302,0.047913888,3.547635,363.3586174,0.07,512.8383186,0.254761
0.548,11.8409,6.409008,1.872823,0.171498347,5.5009,0.006922162,0.043,183.49,0.057399248,0.26884,129.3138679,0.12,44.28451654,0.03792802
0.5523,11.8209,6.464842,2.128436,0.180165425,5.5,0.001581054,0.03,144.95,0.007615597,0.02385,95.48683697,0.15,48.68357734,0.01256241
0.5547,10.5976,6.625217,1.262839,0.116679035,5.4984,0.02635997,0.126,165.98,0.041804357,0.22249,129.3138679,0.12,44.28451654,0.1565356
0.53298,13.1657,6.690229,1.984256,0.155895277,5.4872,0.03319823,0.101,244.4884968,0.125645812,0.16001,390.3879721,17.23,472.2192815,0.0696529
0.5562,12.9086,6.500679,0.968735,0.13867076,5.4832,0.01129707,0.093,164.23,0.031852653,0.389225,129.3138679,0.12,44.28451654,0.04960753
0.37948,14.4021,6.523783,2.116905,0.157694506,5.48,0.01049007,0.097,118.7,0.061272628,0.56006,95.48683697,0.15,64.74577466,0.08114611
0.7104,11.3624,6.990488,7.818499,0.2290194,5.48,0.04651396,0.157,224.4239791,0.032598481,0.109565,206.6387024,0.1,290.3845297,0.08825564
0.8034,7.73544,7.055089,5.844774,0.139934231,5.4771,0.03437178,0.109,158.54,0.148290585,0.037895,95.48683697,0.15,48.68357734,0.1598241
0.76749,11.2256,6.61339,2.711867,0.287852183,5.475,0.00340256,0.025,209.7391686,0.048758409,0.2835,206.6387024,0.1,290.3845297,0.01873804
0.61,9.43509,6.464071,1.446431,0.13419651,5.4741,0.01317429,0.061,135.69,0.079591499,0.758595,95.48683697,0.15,64.74577466,0.06349749
0.6244,14.1722,6.606152,2.910286,0.2588088,5.4729,0.006041491,0.012,251.9779712,0.008775405,0.00043,363.3586174,0.07,687.6163291,0.01358886
0.68914,16.3514,7.076056,5.476518,0.173495771,5.4669,0.03647139,0.067,280.0588785,0.208593753,0.31018,390.3879721,17.23,472.2192815,0.1175474
0.5485,8.99152,6.474914,1.194332,0.109029739,5.459,0.02196363,0.083,171.53,0.066485298,0.757925,92.11420781,0.39,44.28451654,0.1140783
0.7097,12.019,7.038831,4.220523,0.248597908,5.4584,0.004188441,0.001,186.84,0.006186233,0.236055,95.48683697,0.15,48.68357734,0.01965001
0.70629,14.247,7.133357,4.630135,0.231489073,5.457,0.04316775,0.131,252.3549496,0.049363228,3.65309,390.3879721,17.23,687.6163291,0.2514279
0.40815,16.0445,6.755422,3.956153,0.188230334,5.4545,0.03705789,0.167,224.6255429,0.35669141,0.1431,363.3586174,0.07,512.8383186,0.1654311
0.4938,9.78475,6.504861,1.439568,0.113554639,5.4522,0.004934013,0.063,169.28,0.051820657,0.700205,129.3138679,0.12,44.28451654,0.02409462
0.57711,14.0695,6.41388,1.921419,0.173243854,5.4474,0.006688535,0.005,241.4098686,0.072944781,0.16745,390.3879721,17.23,687.6163291,0.01297558
0.55,13.0436,6.669412,3.150755,0.194028765,5.446,0.0108286,0.05,155.96,0.122359244,0.73656,92.11420781,0.39,48.68357734,0.05754769
0.8376,10.5568,7.081662,6.488103,0.121137132,5.444,0.04202972,0.041,70.57,0.231430126,0.73073,124.3355367,0,96.61290641,0.222668
0.7211,12.2153,7.096056,8.034958,0.2294519,5.4439,0.07022072,0.12,233.4276141,0.024381855,0.119905,277.8131221,0.02,512.8383186,0.1038702
0.78543,13.0644,7.272107,7.054656,0.2485277,5.4439,0.07265058,0.135,257.0008827,0.012243773,0.07565,390.3879721,17.23,472.2192815,0.1113869
