tce,url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu
1.051391,0.86233,9.506692222,7.527803,6.25619,0.186167737,8.1658,0.2031765,0.047,311.9575048,1.54817928,7.05447,125.7,0,472.2192815
1.085721,0.86198,9.976327778,7.530906,6.271209,0.194484013,8.7475,0.219122,0.043,80.78,1.440872946,7.548035,124.3355367,0,96.61290641
1.1412,0.86301,10.53960167,7.537217,6.270787,0.198726259,9.3213,0.2421623,0.054,135.73,1.365450227,8.28289,106.2334968,0,104.5081246
1.190705,0.86401,11.10155167,7.549943,6.245019,0.196283695,9.9995,0.2610725,0.092,178.97,1.19666188,8.782515,95.48683697,0.15,64.74577466
1.24825,0.8651,11.51065722,7.574164,6.835367,0.230032568,10.6497,0.2941958,0.051,190.68,0.864441004,11.0186,92.11420781,0.39,48.68357734
1.311908,0.86502,11.95331556,7.594397,7.407487,0.236675887,11.8198,0.3326241,0.084,222.21,0.730496628,13.01247,129.3138679,0.12,44.28451654
1.318261,0.86451,12.48223778,7.6033,7.28281,0.227554128,12.8994,0.3538231,0.087,243.1434582,0.780863068,18.67929,206.6387024,0.1,95.03284876
1.328845,0.86501,13.05056056,7.610253,7.346247,0.226545037,14.0211,0.3806922,0.06,269.9032542,0.900073976,20.82045,277.8131221,0.02,290.3845297
1.374153,0.866,13.52347222,7.632722,7.116187,0.209209161,16.422,0.405108,0.038,285.4139924,0.81036725,15.76194,363.3586174,0.07,512.8383186
1.380758,0.87529,13.97635556,7.651611,6.726568,0.196661736,16.4889,0.4067332,0.055,301.3271137,0.643053797,14.21299,390.3879721,17.23,687.6163291
0.6768808,0.805,10.08671,6.945168,2.813076,0.157044766,8.5213,0.109014,0.134,276.7483357,0.590576859,13.05602,125.7,0,472.2192815
0.6933688,0.8155,10.61070294,6.954851,2.843954,0.160462131,9.3173,0.1163646,0.113,73.7,0.566059392,14.03618,124.3355367,0,96.61290641
0.7392026,0.8201,11.03042529,6.975564,2.903576,0.170534387,9.9607,0.1286197,0.144,114.74,0.553925363,15.92265,106.2334968,0,104.5081246
0.7757236,0.8228,11.57268059,7.000136,2.9183,0.181653043,10.5231,0.135962,0.3,151.01,0.523048448,17.84787,95.48683697,0.15,64.74577466
