url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.4972,13.7597,6.292347,2.560441,0.241148556,3.6073,0.01248916,0.031,225.0411682,0.027450504,0.084255,363.3586174,0.07,687.6163291,0.0322498
0.3833,10.864,6.321235,0.9924922,0.101843836,3.6063,0.006274695,0.027,115.64,0.035069698,0.097375,106.2334968,0,64.74577466,0.03099557
0.4529,14.5725,6.30014,1.631733,0.192837859,3.6058,0.008209579,0.134,179.5512839,0.04236417,0.371505,129.3138679,0.12,95.03284876,0.04049326
0.41679,12.7126,6.406661,1.310736,0.10057249,3.6053,0.007815901,0.054,240.4518662,0.053665107,0.29279,125.7,0,472.2192815,0.05238253
0.4024,12.7017,6.285024,4.741189,0.23002411,3.6034,0.004407981,0.043,204.7488275,0.017053788,0.048055,206.6387024,0.1,290.3845297,0.01529867
0.552,13.3715,6.500743,1.44511,0.259187263,3.5958,0.007357011,0.006,242.2775859,0.15546609,0.091775,363.3586174,0.07,687.6163291,0.009528195
0.4479,9.79788,6.106094,1.960661,0.132791751,3.5945,0.01037608,0.023,95.91,0.152477244,0.192575,124.3355367,0,104.5081246,0.03186642
0.47882,11.8386,6.183676,1.766645,0.191019535,3.59,0.001940024,0.011,136.54,0.111518865,0.10678,92.11420781,0.39,48.68357734,0.009206331
0.44456,9.56516,6.300862,1.928404,0.314223319,3.5892,0.003703476,0.018,174.5347559,0.012500031,0.167095,129.3138679,0.12,95.03284876,0.02575474
0.50361,14.7528,6.393566,4.46909,0.310325438,3.5819,0.01918515,0.066,206.1373236,0.016679141,0.27958,277.8131221,0.02,290.3845297,0.05931603
0.4892,10.6535,6.238172,1.350171,0.169491525,3.5819,0.003873738,0.036,120.17,0.072081106,0.020535,95.48683697,0.15,64.74577466,0.02002574
0.35534,10.4639,6.252354,1.630367,0.143249801,3.5784,0.007366301,0.038,235.0598194,0.151008803,0.5378,125.7,0,472.2192815,0.05771021
0.47496,12.9328,6.408074,2.35273,0.271945795,3.5784,0.0181574,0.027,253.0540132,0.030190593,0.05843,390.3879721,17.23,472.2192815,0.00925093
0.5048,12.631,7.230649,2.803564,0.344143048,3.5767,0.003944212,0.006,222.2280348,0.019387035,0.138755,363.3586174,0.07,512.8383186,0.009223853
0.48,12.129,6.234156,2.570809,0.176436339,3.5754,0.01192888,0.047,174.21,0.09623198,0.231015,92.11420781,0.39,44.28451654,0.04312354
0.4401,9.30573,6.524489,1.458922,0.103566485,3.5729,0.008027296,0.095,44.57,0.128101945,0.10019,125.7,0,96.61290641,0.04462749
0.4932,12.9616,6.715922,1.985358,0.239748047,3.5726,0.01743264,0.065,136.96,0.113144053,1.488435,95.48683697,0.15,64.74577466,0.0921954
0.395,14.2656,5.969294,1.613985,0.17317653,3.5702,0.001975187,0.008,129.34,0.009348622,0.115315,92.11420781,0.39,48.68357734,0.008155498
0.4845,10.6255,6.668271,2.526214,0.158866627,3.5691,0.008669109,0.054,252.8280509,0.262497198,0.60195,125.7,0,472.2192815,0.05063583
0.75032,11.6707,7.243595,6.750771,0.135474504,3.5669,0.007944782,0.002,77.12,0.356760737,0.40729,125.7,0,96.61290641,0.03303688
0.4714,14.5147,6.432597,2.510399,0.205732088,3.5625,0.01676713,0.028,217.8822986,0.009693372,0.062975,363.3586174,0.07,687.6163291,0.03348737
0.4144,10.568,6.301683,1.752544,0.147034356,3.5612,0.01298342,0.076,166.44,0.118328286,0.11014,129.3138679,0.12,44.28451654,0.05753433
0.4586,10.7523,6.141206,1.966221,0.136109002,3.5611,0.01023625,0.029,127.81,0.150426209,0.1982,106.2334968,0,64.74577466,0.03190683
0.515,11.5053,6.364713,2.058318,0.216518712,3.5604,0.005398756,0.028,132.16,0.028936874,0.16831,95.48683697,0.15,64.74577466,0.03230023
0.63536,13.6623,6.761196,3.591277,0.309800007,3.5588,0.0290389,0.173,231.6290137,0.037595622,0.03612,390.3879721,17.23,687.6163291,0.0893226
0.404,14.6269,6.264754,0.9812119,0.109937092,3.5571,0.00554472,0.03,132.84,0.005429164,0.3135767,92.11420781,0.39,48.68357734,0.03743549
0.5091,14.5496,6.433945,1.936713,0.182419931,3.5542,0.008143098,0.037,145.63,0.111006309,0.223785,95.48683697,0.15,48.68357734,0.0443059
0.492,13.4795,6.349665,1.440176,0.188347805,3.5538,0.01045239,0.069,164.02,0.076034089,0.967815,92.11420781,0.39,44.28451654,0.04835222
0.6654,14.2392,5.915141,8.828563,0.295857988,3.5527,0.006184307,0.052,203.6986253,0.020118046,0.022395,277.8131221,0.02,290.3845297,0.04715388
0.479,11.1669,6.183402,3.213425,0.165154006,3.5521,0.007124156,0.109,204.5645114,0.007199352,0.037265,206.6387024,0.1,290.3845297,0.01383443
0.4623,15.3893,6.428623,4.796761,0.182237711,3.5519,0.02872442,0.034,222.4976854,0.047533157,0.614795,277.8131221,0.02,512.8383186,0.0428226
0.524,7.89075,7.004032,1.540583,0.181681787,3.5484,0.06659354,0.031,89.31,0.120577299,5.11847,106.2334968,0,104.5081246,0.3683955
0.39143,15.9213,6.640212,3.864023,0.209932192,3.5476,0.01106054,0.064,170.04,0.106567163,0.224335,129.3138679,0.12,44.28451654,0.0797241
0.4295,5.92738,6.256452,0.9677671,0.122639195,3.5475,0.004409218,0.044,84.52,0.018641735,0.35919,124.3355367,0,104.5081246,0.01881337
